train_loss,val_performance
8.0444917678833,-0.013288153012593895
3.193220853805542,0.4241713285446167
4.716045379638672,0.4955898729960122
2.793393850326538,0.6222898721694943
2.660048723220825,0.7537207285563152
2.554211139678955,0.8664908456802367
2.45442271232605,0.9682817475001011
2.3680217266082764,1.06384428024292
2.2882444858551025,1.1574995263417556
2.219022750854492,1.2470811621348066
2.1600568294525146,1.3321208016077675
2.1116268634796143,1.4116000684102383
2.066338062286377,1.4871456130345662
2.0277609825134277,1.5589553324381509
1.993518352508545,1.6266850725809734
1.9653159379959106,1.6886272144317624
1.9408358335494995,1.7442980416615796
1.9198551177978516,1.7932149696350104
1.902758002281189,1.8359508800506594
1.8868050575256348,1.8732134358088173
1.8712166547775269,1.9054976399739578
1.8560031652450562,1.9329876979192102
1.841074824333191,1.9569824330012011
1.8263579607009888,1.9784120893478399
1.8125776052474976,1.9980765978495274
1.799505591392517,2.0162953678766886
1.7870315313339233,2.033839464187622
1.775567889213562,2.0516285546620674
1.7646117210388184,2.0706525882085165
1.7543731927871704,2.0906042321523026
1.744805932044983,2.1109789641698207
1.735918641090393,2.1314973815282183
1.7272428274154663,2.15233566125234
1.7188674211502075,2.1735869963963825
1.7107186317443848,2.1950370375315353
1.7032560110092163,2.2168187904357906
1.6962555646896362,2.23823694229126
1.689723014831543,2.2588065417607615
1.6836313009262085,2.2785386339823406
1.6778746843338013,2.297587067286174
1.6723417043685913,2.315573720932007
1.6667686700820923,2.33326448281606
1.660964012145996,2.350823300679525
1.655555248260498,2.368013304074604
1.650399088859558,2.3858300956090295
1.6453396081924438,2.4042304054896038
1.6405367851257324,2.4227006848653154
1.6360052824020386,2.4412949403127024
1.631773591041565,2.459354672431946
1.6275086402893066,2.4759270270665494
1.6231924295425415,2.4912916835149126
1.618904948234558,2.505468112627666
1.6145933866500854,2.5191828870773305
1.6102467775344849,2.533259007136028
1.6061371564865112,2.5478327814737955
1.6021595001220703,2.5628372828165693
1.5982996225357056,2.5787310632069893
1.5946294069290161,2.595138910611471
1.5909978151321411,2.6120952399571733
1.587328553199768,2.629212296803792
1.5836458206176758,2.645922300020853
1.580025553703308,2.6629408295949295
1.5762847661972046,2.679722776412964
1.572426438331604,2.6964479176203406
1.5686570405960083,2.7129338026046756
1.5649875402450562,2.7288482634226474
1.561271071434021,2.74387640953064
1.557540774345398,2.757241230010986
1.5537856817245483,2.7691196250915526
1.5500138998031616,2.779871748288472
