item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,val_performance,best_epoch,train_loss,adaptation_feature_config,state,generalization_dative,generalization_feature_config,logprob
317,32,2,0.1,pp,0.2736822239557899,19,3.4690520763397217,nalimnisdu,initial,do,,-6.492038878527555
317,32,2,0.1,pp,0.2736822239557899,19,3.4690520763397217,nalimnisdu,initial,pp,,-5.681357892354329
317,32,2,0.1,pp,0.2736822239557899,19,3.4690520763397217,nalimnisdu,final,do,,-5.816945547046084
317,32,2,0.1,pp,0.2736822239557899,19,3.4690520763397217,nalimnisdu,final,pp,,-5.086869841151767
317,32,2,0.1,pp,0.2736822239557899,19,3.4690520763397217,nalimnisdu,best,do,,-4.9909478982289635
317,32,2,0.1,pp,0.2736822239557899,19,3.4690520763397217,nalimnisdu,best,pp,,-4.553408617443509
644,65,4,0.01,do,-0.21708444436391172,36,3.2337539196014404,nasdunisdu,initial,do,,-6.491499934051976
644,65,4,0.01,do,-0.21708444436391172,36,3.2337539196014404,nasdunisdu,initial,pp,,-5.678198305765788
644,65,4,0.01,do,-0.21708444436391172,36,3.2337539196014404,nasdunisdu,final,do,,-5.56217293883815
644,65,4,0.01,do,-0.21708444436391172,36,3.2337539196014404,nasdunisdu,final,pp,,-4.9501958873536855
644,65,4,0.01,do,-0.21708444436391172,36,3.2337539196014404,nasdunisdu,best,do,,-5.341642051754576
644,65,4,0.01,do,-0.21708444436391172,36,3.2337539196014404,nasdunisdu,best,pp,,-4.853028154373169
1179,118,4,0.1,pp,0.7438279310862228,61,1.0348550081253052,nisdunilim,initial,do,,-6.494554428620772
1179,118,4,0.1,pp,0.7438279310862228,61,1.0348550081253052,nisdunilim,initial,pp,,-5.680654568142361
1179,118,4,0.1,pp,0.7438279310862228,61,1.0348550081253052,nisdunilim,final,do,,-5.553789202372233
1179,118,4,0.1,pp,0.7438279310862228,61,1.0348550081253052,nisdunilim,final,pp,,-4.906842041015625
1179,118,4,0.1,pp,0.7438279310862228,61,1.0348550081253052,nisdunilim,best,do,,-5.427789101456151
1179,118,4,0.1,pp,0.7438279310862228,61,1.0348550081253052,nisdunilim,best,pp,,-4.799107257525126
1163,117,3,0.1,do,0.3140659364064531,13,2.956557035446167,nisdunildm,initial,do,,-6.494890000603416
1163,117,3,0.1,do,0.3140659364064531,13,2.956557035446167,nisdunildm,initial,pp,,-5.682604047987196
1163,117,3,0.1,do,0.3140659364064531,13,2.956557035446167,nisdunildm,final,do,,-6.286103774562027
1163,117,3,0.1,do,0.3140659364064531,13,2.956557035446167,nisdunildm,final,pp,,-5.412473816341824
1163,117,3,0.1,do,0.3140659364064531,13,2.956557035446167,nisdunildm,best,do,,-4.604689982443145
1163,117,3,0.1,do,0.3140659364064531,13,2.956557035446167,nisdunildm,best,pp,,-4.093083114094204
2169,217,4,0.1,pp,0.6420702441533406,61,1.0501701831817627,nisdupasiu,initial,do,,-6.49200868173079
2169,217,4,0.1,pp,0.6420702441533406,61,1.0501701831817627,nisdupasiu,initial,pp,,-5.679260955916511
2169,217,4,0.1,pp,0.6420702441533406,61,1.0501701831817627,nisdupasiu,final,do,,-5.511667000163685
2169,217,4,0.1,pp,0.6420702441533406,61,1.0501701831817627,nisdupasiu,final,pp,,-4.9674797534942625
2169,217,4,0.1,pp,0.6420702441533406,61,1.0501701831817627,nisdupasiu,best,do,,-5.334700275189949
2169,217,4,0.1,pp,0.6420702441533406,61,1.0501701831817627,nisdupasiu,best,pp,,-4.81390061378479
643,65,3,0.1,do,-0.3624864530563352,42,2.99037504196167,nasdunisdu,initial,do,,-6.4933964570363365
643,65,3,0.1,do,-0.3624864530563352,42,2.99037504196167,nasdunisdu,initial,pp,,-5.683194910155402
643,65,3,0.1,do,-0.3624864530563352,42,2.99037504196167,nasdunisdu,final,do,,-6.699038907253381
643,65,3,0.1,do,-0.3624864530563352,42,2.99037504196167,nasdunisdu,final,pp,,-6.0251668029361305
643,65,3,0.1,do,-0.3624864530563352,42,2.99037504196167,nasdunisdu,best,do,,-6.192946056886153
643,65,3,0.1,do,-0.3624864530563352,42,2.99037504196167,nasdunisdu,best,pp,,-5.582101445727878
421,43,1,0.1,do,0.020090419451395114,18,2.7870283126831055,naliunisdu,initial,do,,-6.493141690167514
421,43,1,0.1,do,0.020090419451395114,18,2.7870283126831055,naliunisdu,initial,pp,,-5.679658198356629
421,43,1,0.1,do,0.020090419451395114,18,2.7870283126831055,naliunisdu,final,do,,-5.8362890474724045
421,43,1,0.1,do,0.020090419451395114,18,2.7870283126831055,naliunisdu,final,pp,,-5.17508848508199
421,43,1,0.1,do,0.020090419451395114,18,2.7870283126831055,naliunisdu,best,do,,-5.088084388501716
421,43,1,0.1,do,0.020090419451395114,18,2.7870283126831055,naliunisdu,best,pp,,-4.510146416558159
209,21,4,0.1,pp,0.44671085516611697,51,1.1890453100204468,naldmnisdu,initial,do,,-6.494109432625048
209,21,4,0.1,pp,0.44671085516611697,51,1.1890453100204468,naldmnisdu,initial,pp,,-5.6830403486887615
209,21,4,0.1,pp,0.44671085516611697,51,1.1890453100204468,naldmnisdu,final,do,,-5.248033273581303
209,21,4,0.1,pp,0.44671085516611697,51,1.1890453100204468,naldmnisdu,final,pp,,-4.676141888565487
209,21,4,0.1,pp,0.44671085516611697,51,1.1890453100204468,naldmnisdu,best,do,,-5.000806231932207
209,21,4,0.1,pp,0.44671085516611697,51,1.1890453100204468,naldmnisdu,best,pp,,-4.559960471259223
2162,217,2,0.1,do,0.04477141857147249,25,2.1270318031311035,nisdupasiu,initial,do,,-6.4928665031086314
