train_loss,val_performance
6.9490790367126465,-0.12401703834533695
5.112128734588623,0.11785239219665478
4.0734782218933105,0.2869771496454874
3.6668193340301514,0.42011671384175653
3.528718948364258,0.5188695287704466
3.461338758468628,0.5935540310541789
3.4101011753082275,0.654364188512166
3.3670411109924316,0.7059232250849403
3.322246789932251,0.7504707797368368
3.2804760932922363,0.7904391288757324
3.2416484355926514,0.8319836091995239
3.2054076194763184,0.8876430781682334
3.175086736679077,0.9541145769755044
3.1501293182373047,1.0013799269994106
3.119678020477295,1.0234788036346432
3.0802066326141357,1.0347419007619214
3.046876907348633,1.0408414777119956
3.0204296112060547,1.0459924538930254
2.997570276260376,1.053563753763835
2.97617506980896,1.062119700113933
2.9553723335266113,1.071775787671407
2.934340238571167,1.085060598055522
2.912252187728882,1.0995970487594606
2.889836549758911,1.1157501983642586
2.868945360183716,1.1315163119633986
2.8494536876678467,1.1418997828165693
2.830118417739868,1.1428233750661212
2.8115031719207764,1.1363516298929852
2.792006254196167,1.1236996396382652
2.7730233669281006,1.1066842047373457
2.753927230834961,1.0899898211161299
2.734724283218384,1.0749168650309242
2.7157609462738037,1.064325669606526
2.6969070434570312,1.0599519411722813
2.679152250289917,1.061303154627483
2.663367509841919,1.065251353581747
2.6480023860931396,1.0709839407602937
2.6341769695281982,1.0768999195098878
2.6220815181732178,1.081587413152059
2.6118788719177246,1.0853892230987547
2.6012604236602783,1.089089392026266
2.5888798236846924,1.091713919639588
2.575340986251831,1.0958451763788855
2.5612053871154785,1.100625929832459
2.545767068862915,1.1069842084248869
2.5277137756347656,1.1124181588490796
2.508274793624878,1.1171566088994345
2.489384889602661,1.1222862418492632
2.4714014530181885,1.1248324298858643
2.4524669647216797,1.1258238013585409
2.4327313899993896,1.124468269348144
2.411161184310913,1.1207900285720829
2.387407064437866,1.1158745114008592
2.3632266521453857,1.1151480690638227
2.336521625518799,1.1196536604563398
2.3059723377227783,1.1310302511850985
2.27203106880188,1.143725558916728
2.2369723320007324,1.1527054738998412
2.2033185958862305,1.1535815413792934
2.1762402057647705,1.1472481791178382
2.1512327194213867,1.1423425563176481
2.127683401107788,1.1374973106384276
2.1053218841552734,1.1348169231414804
2.0865843296051025,1.133368016878765
2.0698888301849365,1.1353456290562942
2.0570104122161865,1.1366967201232914
2.0457451343536377,1.1359364207585658
2.03582501411438,1.1346336476008103
2.025740623474121,1.1331580146153772
2.016373872756958,1.1356598186492928
