lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,1,1,1,pp,0.1,1.9682671705881756,36,-0.474534182548523,0.15714285714285714,-7.552437532288687,-7.077903349740165,-0.9650575954573495,0.01,-5.134093640191215,-4.169036044733865,-0.9117632211957659,0.008571428571428572,-5.008588570526668,-4.096825349330902
raw,1,1,1,do,0.1,1.3852813005447393,17,-0.4757090357371739,0.15571428571428572,-7.554828891072955,-7.07911985533578,-1.2219622482572283,0.24714285714285714,-8.273466168131147,-7.051503919873919,-0.9145195255960737,0.07714285714285714,-5.704578736850194,-4.79005921125412
raw,2,1,2,do,0.1,1.9640455039342246,22,-0.4753933443341936,0.15571428571428572,-7.55534652369363,-7.079953179359436,-0.9896203708648682,0.09,-6.449588219778878,-5.45996784891401,-0.6725922400610788,0.08428571428571428,-5.434132413182939,-4.761540173121861
raw,2,1,2,pp,0.1,2.576824544270833,34,-0.47490681512015204,0.15714285714285714,-7.554369374683925,-7.0794625595637735,-1.0681480949265616,0.024285714285714285,-6.663709165709359,-5.595561070782797,-1.1072881722450256,0.017142857142857144,-6.655604315485273,-5.548316143240247
raw,3,1,3,pp,0.1,2.464976765314738,45,-0.4754346343449184,0.15714285714285714,-7.5590182917458675,-7.083583657400949,-1.0278336388724192,0.03428571428571429,-6.322424978188106,-5.294591339315687,-1.0329273400987897,0.037142857142857144,-6.2832180077689035,-5.2502906676701135
raw,3,1,3,do,0.1,1.0635509268442789,14,-0.4746838467461722,0.15857142857142856,-7.5558949620383125,-7.08121111529214,-0.891384322983878,0.14714285714285713,-7.019404793807438,-6.128020470823561,-0.7006867211205619,0.045714285714285714,-5.368283540180752,-4.667596819060189
raw,4,1,4,pp,0.1,1.509063110351562,21,-0.47566576276506695,0.15571428571428572,-7.554845730917794,-7.079179968152728,-1.2628816042627606,0.011428571428571429,-6.591327448913029,-5.328445844650268,-1.0755312095369611,0.007142857142857143,-5.664975608757564,-4.589444399220603
raw,4,1,4,do,0.1,1.3235057147343952,11,-0.47548989364079064,0.15714285714285714,-7.557041831016541,-7.08155193737575,-1.2650485593932015,0.18428571428571427,-9.066749923910413,-7.8017013645172115,-0.9758749123982021,0.08428571428571428,-5.911579489707947,-4.935704577309744
raw,5,1,5,do,0.1,2.1959784491856897,70,-0.47579314299992154,0.15571428571428572,-7.555480045591082,-7.079686902591161,-0.813388296195439,0.054285714285714284,-5.250902952126094,-4.437514655930656,-0.813388296195439,0.054285714285714284,-5.250902952126094,-4.437514655930656
raw,5,1,5,pp,0.1,2.9810722541809094,30,-0.47560339859553746,0.15714285714285714,-7.555465213911874,-7.079861815316336,-0.9269076905931746,0.03857142857142857,-5.339605684280396,-4.412697993687221,-0.8849820143835885,0.03857142857142857,-5.199220463888985,-4.314238449505397
raw,6,2,1,pp,0.1,3.4686979707082113,70,-0.47483442987714497,0.15714285714285714,-7.554056973457336,-7.079222543580191,-0.9469658807345799,0.06857142857142857,-6.213572721481324,-5.266606840746744,-0.9469658807345799,0.06857142857142857,-6.213572721481324,-5.266606840746744
raw,6,2,1,do,0.05,0.9008315054575604,70,-0.4749298143386841,0.15571428571428572,-7.551116539410183,-7.076186725071499,-0.8022081654412406,0.1957142857142857,-6.611334014960698,-5.809125849519457,-0.8022081654412406,0.1957142857142857,-6.611334014960698,-5.809125849519457
raw,7,2,2,pp,0.1,1.8034736569722503,29,-0.47513633591788157,0.15714285714285714,-7.554224110330854,-7.079087774412972,-1.0316497019359043,0.10285714285714286,-6.835068592003414,-5.803418890067509,-1.1286212944984435,0.037142857142857144,-6.423886937754495,-5.295265643256051
raw,7,2,2,do,0.1,0.9879456933339448,70,-0.4753517934254238,0.15714285714285714,-7.556355821745736,-7.081004028320312,-0.1462181030000959,0.42,-7.618520499978747,-7.472302396978651,-0.1462181030000959,0.42,-7.618520499978747,-7.472302396978651
raw,8,2,3,do,0.1,4.44678647518158,44,-0.4752569934300014,0.15714285714285714,-7.554462186949594,-7.079205193519592,-1.943202053819384,0.19714285714285715,-9.476576479503086,-7.533374425683703,-2.1097502044269016,0.21857142857142858,-9.873504008225032,-7.763753803798131
raw,8,2,3,pp,0.1,4.272789883613587,28,-0.4748390477044242,0.15714285714285714,-7.554266354015895,-7.079427306311471,-0.9351469552516938,0.14714285714285713,-6.359169137137277,-5.424022181885583,-1.1856816557475498,0.08,-6.406618294375283,-5.220936638627734
raw,9,2,4,pp,0.1,3.131543305714926,70,-0.47546809945787705,0.15571428571428572,-7.558318277767726,-7.082850178309849,-1.169976509979793,0.06,-6.263933959688459,-5.093957449708666,-1.169976509979793,0.06,-6.263933959688459,-5.093957449708666
raw,9,2,4,do,0.1,4.0610809230804445,52,-0.47527805532727924,0.15714285714285714,-7.5581287615639825,-7.082850706236703,-1.1651069719450815,0.21857142857142858,-7.613187842369079,-6.448080870423998,-1.8840601975577218,0.14142857142857143,-10.559175453867232,-8.675115256309509
raw,10,2,5,pp,0.1,3.2373092158635446,51,-0.47496432304382324,0.15714285714285714,-7.5580400289808,-7.083075705936976,-1.086138299192701,0.06142857142857143,-6.629854224068778,-5.543715924876077,-1.0131291661943709,0.05,-6.232122500283378,-5.2189933340890065
raw,10,2,5,do,0.1,2.0079599587122594,53,-0.4747760902132307,0.15714285714285714,-7.556258533341544,-7.081482443128313,-0.4676069974899292,0.30714285714285716,-7.822619704178401,-7.3550127066884725,-0.523237647669656,0.2757142857142857,-7.930703579017094,-7.4074659313474385
raw,11,3,1,do,0.1,1.5663023106257121,33,-0.4750338663373675,0.15714285714285714,-7.553281646456037,-7.078247780118669,-0.4737975597381592,0.2842857142857143,-7.6642644466672625,-7.190466886929103,-0.30784374373299733,0.34714285714285714,-6.8625389981269835,-6.5546952543939865
raw,11,3,1,pp,0.1,1.2720553525288905,41,-0.4755007532664708,0.15571428571428572,-7.5544224452972415,-7.078921692030771,-1.19913822889328,0.06142857142857143,-7.4602686180387225,-6.261130389145443,-1.1828886539595467,0.012857142857142857,-6.498013601643699,-5.315124947684152
raw,12,3,2,do,0.1,3.0714066378275557,25,-0.47580323355538506,0.15714285714285714,-7.556316507884434,-7.080513274329049,-0.538128433908735,0.26571428571428574,-6.706418356214251,-6.168289922305516,-0.6858355365480695,0.08714285714285715,-5.958247563498361,-5.272412026950291
raw,12,3,2,pp,0.1,1.8678617747624715,14,-0.47504653658185686,0.15714285714285714,-7.5542543002537315,-7.079207763671875,-1.6271526486533028,0.0,-9.391809854848045,-7.764657206194741,-1.1678988817759923,0.004285714285714286,-6.538789793763842,-5.37089091198785
raw,13,3,3,do,0.1,2.3555933952331554,13,-0.47573786190577916,0.15714285714285714,-7.5550294746671405,-7.079291612761361,-0.8170828788621085,0.16285714285714287,-9.167300426619393,-8.350217547757286,-0.9774395193372454,0.06428571428571428,-7.3525880438940865,-6.375148524556841
raw,13,3,3,pp,0.1,1.6767038011550905,47,-0.47510124274662563,0.15571428571428572,-7.554708998543876,-7.07960775579725,-1.3087240730013165,0.0,-8.757047437259128,-7.448323364257813,-1.288585901941572,0.0,-7.951508386475699,-6.6629224845341275
raw,14,3,4,do,0.1,3.896437973976136,36,-0.4753354467664446,0.15571428571428572,-7.55258031300136,-7.077244866234915,-0.9314586336272104,0.09714285714285714,-8.206831717150552,-7.275373083523341,-0.7083601651872907,0.05714285714285714,-7.705704660075051,-6.997344494887761
raw,14,3,4,pp,0.1,1.7736078087488814,26,-0.4754097148350307,0.15714285714285714,-7.556358069692339,-7.080948354857308,-1.9621566125324794,0.017142857142857144,-9.37694055897849,-7.41478394644601,-1.6990690221105302,0.017142857142857144,-7.883879499094827,-6.184810476984296
raw,15,3,5,pp,0.1,3.1984862645467125,43,-0.47519729682377404,0.15571428571428572,-7.5512844760077344,-7.07608717918396,-1.059756019115448,0.032857142857142856,-6.264807578836169,-5.2050515597207205,-1.0303656983375549,0.03857142857142857,-6.356363031864166,-5.325997333526612
raw,15,3,5,do,0.1,2.229681518872578,26,-0.4755871370860508,0.15571428571428572,-7.553660851206098,-7.078073714120047,-0.6695661990983146,0.2042857142857143,-7.030989858763559,-6.361423659665244,0.28319696835109165,0.6128571428571429,-7.364724352019174,-7.647921320370266
raw,16,4,1,do,0.01,-0.38970106760660794,13,-0.47518739087241035,0.15571428571428572,-7.556454430307661,-7.08126703943525,-0.3056823124204363,0.2571428571428571,-6.714895453453064,-6.409213141032628,-0.3829063238416399,0.2357142857142857,-6.126049680709839,-5.743143356868199
raw,16,4,1,pp,0.1,0.7951241413752239,15,-0.47448870863233295,0.15714285714285714,-7.558291863713945,-7.083803155081613,-1.337527210371835,0.16,-11.091573524475098,-9.754046314103263,-1.1870627999305725,0.07,-6.428151575156621,-5.241088775226048
raw,17,4,2,do,0.1,1.2978593317667642,39,-0.4754498018537249,0.15571428571428572,-7.553172803606306,-7.077723001752581,-0.7373423586572919,0.21571428571428572,-9.368024954795837,-8.630682596138545,-0.4738000365665981,0.24,-7.367233733790261,-6.893433697223664
raw,17,4,2,pp,0.1,1.101718091964722,13,-0.4752549593789237,0.15571428571428572,-7.5578369978496,-7.082582038470677,-0.42356156553540913,0.30428571428571427,-7.799645926271166,-7.376084360735757,-0.9788066141945975,0.01,-5.264539475100381,-4.285732860905783
raw,18,4,3,do,0.1,1.67708662033081,70,-0.475022360937936,0.15714285714285714,-7.558372572490147,-7.083350211552212,-0.46501391683306015,0.3171428571428571,-7.337023461886814,-6.872009545053754,-0.46501391683306015,0.3171428571428571,-7.337023461886814,-6.872009545053754
raw,18,4,3,pp,0.1,2.920942783355713,25,-0.475927768434797,0.15571428571428572,-7.558573888369969,-7.082646119935172,-1.6775093456677028,0.07142857142857142,-8.50633546761104,-6.8288261219433375,-1.3714409470558167,0.07428571428571429,-6.078537974357605,-4.7070970273017885
raw,19,4,4,do,0.01,0.03241768360137964,18,-0.47520799500601635,0.15714285714285714,-7.551806085450309,-7.076598090444293,-0.3588267013004848,0.23285714285714285,-6.259928452968597,-5.901101751668112,-0.4513294185910906,0.19285714285714287,-5.816434344223567,-5.365104925632477
raw,19,4,4,pp,0.1,2.017635693550111,27,-0.47514517784118654,0.15714285714285714,-7.557108838898795,-7.081963661057609,-1.1259834224837166,0.13857142857142857,-7.297884442125048,-6.171901019641331,-0.9425708627700806,0.08714285714285715,-5.77158728156771,-4.82901641879763
raw,20,4,5,pp,0.1,2.070741823514303,17,-0.47538908549717496,0.15571428571428572,-7.5552887235369,-7.079899638039725,-1.027916611943926,0.08285714285714285,-6.406516395296369,-5.378599783352443,-0.9725074458122254,0.01,-5.706140199729375,-4.733632753917149
raw,20,4,5,do,0.1,3.517542634010315,56,-0.47580845492226737,0.15857142857142856,-7.5573764344624115,-7.081567979540144,-1.39019316809518,0.07142857142857142,-8.897246805940355,-7.507053637845176,-1.3151159702028548,0.07142857142857142,-9.053756292547499,-7.738640322344644
raw,21,5,1,pp,0.1,3.502109166781109,37,-0.47497900690351214,0.15714285714285714,-7.55956287588392,-7.084583868980408,-1.2325490433829172,0.04428571428571428,-6.04056517975671,-4.8080161363737925,-1.7006571858269828,0.05,-6.741494891984122,-5.04083770615714
raw,21,5,1,do,0.1,2.464653997421265,30,-0.47517855507986884,0.15714285714285714,-7.553839758464268,-7.078661203384399,-1.752520956652505,0.12857142857142856,-11.417968034744263,-9.665447078091757,-0.8208531979152135,0.10285714285714286,-6.693219250270299,-5.872366052355085
raw,22,5,2,pp,0.1,3.8003879419962567,64,-0.47485599654061456,0.15857142857142856,-7.556924922806876,-7.0820689262662615,-1.0537701266152517,0.037142857142857144,-5.719502581868853,-4.665732455253601,-1.0260157247952053,0.03857142857142857,-5.650796471323286,-4.624780746528081
raw,22,5,2,do,0.1,5.121167480150858,49,-0.47516347817012244,0.15714285714285714,-7.5553361586162024,-7.08017268044608,-0.6694132127080645,0.06,-5.922892227854048,-5.253479015145983,-0.6850083821160453,0.037142857142857144,-5.657303923198155,-4.97229554108211
raw,23,5,3,do,0.1,0.895008335908253,45,-0.47536456993647985,0.15571428571428572,-7.5554051392419,-7.08004056930542,-0.6272437729154314,0.19285714285714287,-8.955423480442592,-8.32817970752716,-0.3685275868007115,0.31142857142857144,-8.96425401210785,-8.595726425307138
raw,23,5,3,pp,0.1,0.6329523372650145,12,-0.4761536046436855,0.15571428571428572,-7.5592129543849405,-7.083059349741254,-1.4678558703831264,0.07142857142857142,-8.455836670058114,-6.987980799674988,-1.3090354224613734,0.04,-6.831930981022971,-5.522895558561598
