key,value
agent,she
agent,he
agent,mommy
agent,daddy
agent,nonna
agent,lucy
agent,sam
pronoun,me
pronoun,her
pronoun,him
pronoun,it
pronoun,them
pronoun,us
pronoun,someone
pronoun,something
animate,me
animate,her
animate,him
animate,them
animate,us
animate,someone
animate,mommy
animate,grandpa
animate,grandma
animate,a cat
animate,the cat
animate,a dog
animate,the dog
animate,elmo
animate,bert
animate,a big bear
animate,the big bear
animate,a cute cat
animate,a big dog
animate,the cute cat
animate,the big dog
animate,the bear over there
animate,a bear outside the house
animate,the cat outside the house
animate,the cat over there
animate,a cat outside the house
animate,the dog outside the house
animate,a dog outside the house
animate,the dog over there
animate,daddy
inanimate,it
inanimate,something
inanimate,a ball
inanimate,cheerios
inanimate,the ball
inanimate,teddy
inanimate,a teddy
inanimate,the teddy
inanimate,a book
inanimate,the book
inanimate,cup
inanimate,a cup
inanimate,the cup
inanimate,a store
inanimate,the store
inanimate,book
inanimate,a toy
inanimate,the toys
inanimate,a red ball
inanimate,the red ball
inanimate,a nice book
inanimate,some books
inanimate,some balls
inanimate,some store
inanimate,a store that is far away
inanimate,the store that is far away
inanimate,a toy in the room
inanimate,the toys in the room
inanimate,toys in the room
inanimate,the cup on the table
inanimate,cup on the table
inanimate,a cup on the table
inanimate,some milk
inanimate,some food
inanimate,the food
inanimate,the milk
inanimate,food on the table
inanimate,the food on the table
inanimate,the balls in the room
inanimate,a ball in that room
inanimate,balls in the room
definite,grandma
definite,mommy
definite,daddy
definite,me
definite,her
definite,him
definite,it
definite,them
definite,us
definite,grandpa
definite,the cat
definite,the dog
definite,elmo
definite,bert
definite,the big bear
definite,the cute cat
definite,the big dog
indefinite,bear over there
definite,the bear over there
definite,the cat outside the house
indefinite,cat outside the house
definite,the cat over there
indefinite,dog outside the house
definite,the dog outside the house
definite,the dog over there
definite,the ball
definite,the teddy
definite,the book
definite,the cup
definite,the store
definite,the toys
definite,the red ball
definite,the store that is far away
definite,the toys in the room
definite,the cup on the table
definite,the food
definite,the milk
definite,the food on the table
definite,the balls in the room
definite,a lego
indefinite,someone
indefinite,something
indefinite,a cat
indefinite,a dog
indefinite,a big bear
indefinite,a cute cat
indefinite,a big dog
indefinite,a bear outside the house
indefinite,a cat outside the house
indefinite,a dog outside the house
indefinite,a ball
indefinite,a teddy
