lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,1,1,1,pp,0.1,1.4692839558919282,37,-0.458411831174578,0.13285714285714287,-7.5072305318287444,-7.0488187006541665,-1.27169755254473,0.022857142857142857,-7.008964510985783,-5.737266958441053,-1.0650522654397148,0.024285714285714285,-6.400130912576403,-5.3350786471366884
raw,1,1,1,do,0.1,1.7895232995351158,17,-0.4583062103816441,0.1357142857142857,-7.507443733896528,-7.049137523514884,-0.3420130899974278,0.22,-5.561007412842342,-5.218994322844914,-0.5249106008665902,0.11714285714285715,-4.96490371635982,-4.4399931154932295
raw,2,1,2,do,0.1,3.640895676612854,23,-0.46001413754054477,0.1357142857142857,-7.508722137042454,-7.04870799950191,-1.3007742006438119,0.16,-6.933857738631112,-5.6330835379873,-1.2669841231618608,0.13142857142857142,-5.820923893792289,-4.553939770630428
raw,2,1,2,pp,0.1,2.2321107689539588,46,-0.458744170325143,0.13428571428571429,-7.508371752330235,-7.049627582005092,-0.9432698522295271,0.08428571428571428,-5.960498688902174,-5.017228836672647,-0.7841215528760638,0.09428571428571429,-5.600345921175821,-4.816224368299757
raw,3,1,3,pp,0.1,1.1581706809997563,32,-0.45954654829842706,0.1357142857142857,-7.508692605836051,-7.049146057537624,-1.0521721407345364,0.07285714285714286,-7.231394636290414,-6.179222495555877,-1.0611332648141043,0.055714285714285716,-7.071901686532157,-6.010768421718052
raw,3,1,3,do,0.1,1.9218139823277793,23,-0.45910443714686805,0.13428571428571429,-7.50599656854357,-7.046892131396702,-1.4061504915782383,0.28,-10.066568489415305,-8.660417997837067,-0.5178978460175651,0.34714285714285714,-6.719773297309875,-6.20187545129231
raw,4,1,4,pp,0.1,3.799760758082072,37,-0.4593950823375157,0.1357142857142857,-7.507490799086434,-7.048095716748919,-1.2166939951692308,0.07714285714285714,-6.2305562492779325,-5.013862254108702,-1.2020165046623774,0.055714285714285716,-5.8319988206454685,-4.629982315983091
raw,4,1,4,do,0.1,2.1109282255172728,28,-0.4598691265923636,0.1357142857142857,-7.5058513375691005,-7.045982210976737,-0.6595317731584821,0.10285714285714286,-6.237110169274467,-5.577578396115984,-0.7618696059499468,0.07285714285714286,-5.631412976128715,-4.869543370178768
raw,5,1,5,do,0.1,2.532717169125875,30,-0.45902264050074987,0.13428571428571429,-7.506207100323269,-7.047184459822518,-0.6697893190383911,0.12428571428571429,-5.852246232713972,-5.182456913675581,-0.6730929098810469,0.12857142857142856,-5.300931693145207,-4.62783878326416
raw,5,1,5,pp,0.1,2.9618052705128983,43,-0.45871331896100725,0.1357142857142857,-7.501049090112959,-7.042335771151952,-1.3231400431905473,0.03,-6.035413792473929,-4.712273749283382,-1.3196921413285392,0.025714285714285714,-5.994554216521127,-4.674862075192587
raw,6,2,1,pp,0.1,2.4652536853154503,68,-0.45965061119624545,0.1357142857142857,-7.506786845070975,-7.047136233874729,-1.6753283500671388,0.04,-6.370274629592895,-4.694946279525757,-1.6774078144345965,0.04,-6.346514462743487,-4.66910664830889
raw,6,2,1,do,0.05,0.11515020529429076,7,-0.4598741722106934,0.13428571428571429,-7.510618330410549,-7.050744158199855,-0.6681742198126657,0.27714285714285714,-8.324418888773238,-7.656244668960571,-0.37316998549870084,0.16285714285714287,-5.445219801834652,-5.072049816335951
raw,7,2,2,pp,0.1,2.1782612641652435,40,-0.45946551050458634,0.1357142857142857,-7.506137565885271,-7.046672055380685,-0.972812316758292,0.07,-6.057746602807726,-5.084934286049434,-1.050508051088878,0.06857142857142857,-6.010357941218785,-4.959849890129907
raw,7,2,2,do,0.1,0.7182547966639206,70,-0.4587212460381644,0.13428571428571429,-7.507382437161037,-7.048661191122872,-0.4928552828516279,0.2914285714285714,-9.092229409217834,-8.599374126366207,-0.4928552828516279,0.2914285714285714,-9.092229409217834,-8.599374126366207
raw,8,2,3,do,0.1,0.6389924144744885,26,-0.4591173349108015,0.1357142857142857,-7.505780650547573,-7.0466633156367715,-0.6799273749760218,0.19714285714285715,-8.965447213990348,-8.285519839014325,-0.6316903039387294,0.20285714285714285,-7.427136381694249,-6.7954460777555195
raw,8,2,3,pp,0.1,2.958667262395222,70,-0.45913764204297747,0.1357142857142857,-7.504318136487688,-7.045180494444711,-1.2144726375171115,0.037142857142857144,-6.543276332446507,-5.3288036949293955,-1.2144726375171115,0.037142857142857144,-6.543276332446507,-5.3288036949293955
raw,9,2,4,pp,0.1,2.6219133551915483,42,-0.45921988351004467,0.1357142857142857,-7.504646307400295,-7.04542642389025,-1.2060530127797808,0.09428571428571429,-6.551925136021206,-5.345872123241424,-1.0881703642436436,0.07428571428571429,-6.050891335010529,-4.962720970766885
raw,9,2,4,do,0.1,2.003754914601644,22,-0.459506139755249,0.1357142857142857,-7.505606639044625,-7.046100499289376,-0.3210984996386937,0.41714285714285715,-8.85673826796668,-8.535639768327986,-0.42753467764173236,0.2785714285714286,-5.202699964387076,-4.775165286745344
raw,10,2,5,pp,0.1,1.5726782051722212,70,-0.4583492388044085,0.1357142857142857,-7.503577776636396,-7.045228537831988,-0.8712969834463937,0.05142857142857143,-5.9628242223603385,-5.091527238913945,-0.8712969834463937,0.05142857142857143,-5.9628242223603385,-5.091527238913945
raw,10,2,5,do,0.1,2.630950217247009,57,-0.45865940298352925,0.1357142857142857,-7.50751400743212,-7.048854604448591,-0.21468206678118024,0.3357142857142857,-6.150217819895063,-5.935535753113883,-0.2281340711457389,0.31857142857142856,-5.9571722800391065,-5.729038208893368
raw,11,3,1,do,0.1,0.50816371122996,8,-0.45933246544429235,0.1357142857142857,-7.504620433534894,-7.045287968090602,-0.8343389671189444,0.12428571428571429,-8.370949901172093,-7.536610934053148,-0.6255504471915109,0.07285714285714286,-6.169536737033299,-5.543986289841788
