verb,lemma,n
charged,charge,2
cost,cost,5
bounced,bounce,5
delivered,deliver,7
carried,carry,31
dropped,drop,2
explained,explain,20
introduced,introduce,14
lifted,lift,2
mentioned,mention,2
said,say,78
whispered,whisper,3
shot,shoot,2
wished,wish,6
batted,bat,1
dragged,drag,1
hauled,haul,2
kicked,kick,3
addressed,address,1
announced,announce,1
described,describe,4
returned,return,5
assigned,assign,1
guaranteed,guarantee,1
owed,owe,7
promised,promise,1
rented,rent,2
traded,trade,5
