item_id,hypothesis_id,hypothesis_instance,lr,adaptation_dative,generalization_dative,logprob
1431,144,1,0.1,do,do,-5.098948730155826
1431,144,1,0.1,do,pp,-5.137167390063405
1432,144,2,0.1,do,do,-5.4478462435305115
1432,144,2,0.1,do,pp,-5.614862829819321
1433,144,3,0.1,do,do,-5.406131384894252
1433,144,3,0.1,do,pp,-5.629534302279353
1434,144,4,0.1,do,do,-4.499524618312717
1434,144,4,0.1,do,pp,-4.644551336392761
1435,144,5,0.1,do,do,-5.120821486413479
1435,144,5,0.1,do,pp,-5.205996350571513
1436,144,1,0.1,pp,do,-5.048346917703748
1436,144,1,0.1,pp,pp,-4.769202535971999
1437,144,2,0.1,pp,do,-4.762876681983471
1437,144,2,0.1,pp,pp,-4.333205470815301
1438,144,3,0.1,pp,do,-4.55813662186265
1438,144,3,0.1,pp,pp,-4.037901456654072
1439,144,4,0.1,pp,do,-5.186648786813021
1439,144,4,0.1,pp,pp,-4.584203823283315
1440,144,5,0.1,pp,do,-4.603316855058074
1440,144,5,0.1,pp,pp,-4.245277684554457
1441,145,1,0.1,do,do,-4.629900577664375
1441,145,1,0.1,do,pp,-4.282698620483279
1442,145,2,0.1,do,do,-5.020213638618588
1442,145,2,0.1,do,pp,-4.719995187222958
1443,145,3,0.1,do,do,-5.103841798380017
1443,145,3,0.1,do,pp,-4.425972385704517
1444,145,4,0.1,do,do,-4.646107640862465
1444,145,4,0.1,do,pp,-4.711752624809742
1445,145,5,0.1,do,do,-5.320600790157914
1445,145,5,0.1,do,pp,-4.868956056982279
1446,145,1,0.1,pp,do,-4.651303136721253
1446,145,1,0.1,pp,pp,-4.1169396411627535
1447,145,2,0.1,pp,do,-5.093675494194031
1447,145,2,0.1,pp,pp,-4.525029102712869
1448,145,3,0.1,pp,do,-4.983732205256819
1448,145,3,0.1,pp,pp,-4.309009638056159
1449,145,4,0.1,pp,do,-5.275390026718378
1449,145,4,0.1,pp,pp,-4.7383900310844185
1450,145,5,0.1,pp,do,-4.810849246755242
1450,145,5,0.1,pp,pp,-4.299928671121597
1451,146,1,0.1,do,do,-4.659884804859757
1451,146,1,0.1,do,pp,-4.166626758500934
1452,146,2,0.1,do,do,-4.772415771335363
1452,146,2,0.1,do,pp,-4.418150871247053
1453,146,3,0.1,do,do,-4.3097906649112705
1453,146,3,0.1,do,pp,-4.299616394191981
1454,146,4,0.1,do,do,-6.382889582216739
1454,146,4,0.1,do,pp,-5.730171240866184
1455,146,5,0.1,do,do,-4.82330390997231
1455,146,5,0.1,do,pp,-4.647836013138294
1456,146,1,0.1,pp,do,-4.668848624452949
1456,146,1,0.1,pp,pp,-4.01896741464734
1457,146,2,0.1,pp,do,-5.156395637243986
1457,146,2,0.1,pp,pp,-4.62888860590756
1458,146,3,0.1,pp,do,-4.694566625729204
1458,146,3,0.1,pp,pp,-4.206222476437688
1459,146,4,0.1,pp,do,-6.32121936827898
1459,146,4,0.1,pp,pp,-5.410234302654862
1460,146,5,0.1,pp,do,-4.694926795735955
1460,146,5,0.1,pp,pp,-4.273562011122704
1461,147,1,0.1,do,do,-5.249904444068671
1461,147,1,0.1,do,pp,-4.711456607654691
1462,147,2,0.1,do,do,-4.849402948841453
1462,147,2,0.1,do,pp,-4.399001418799162
1463,147,3,0.1,do,do,-5.844674321264028
1463,147,3,0.1,do,pp,-5.447966777905822
1464,147,4,0.1,do,do,-5.755356649309396
1464,147,4,0.1,do,pp,-5.381299224123358
1465,147,5,0.1,do,do,-5.683756651356816
1465,147,5,0.1,do,pp,-5.1514644552022215
1466,147,1,0.1,pp,do,-4.799387553706765
1466,147,1,0.1,pp,pp,-4.501774941012263
1467,147,2,0.1,pp,do,-4.6892901383340355
1467,147,2,0.1,pp,pp,-4.1488280083984135
1468,147,3,0.1,pp,do,-5.414915120229125
1468,147,3,0.1,pp,pp,-4.804960593953728
1469,147,4,0.1,pp,do,-5.062724417820573
1469,147,4,0.1,pp,pp,-4.861535385251045
1470,147,5,0.1,pp,do,-4.922027438133955
1470,147,5,0.1,pp,pp,-4.658283807709813
1471,148,1,0.1,do,do,-4.83567953389138
1471,148,1,0.1,do,pp,-4.87967909835279
1472,148,2,0.1,do,do,-4.918564283847809
1472,148,2,0.1,do,pp,-4.615285486355424
1473,148,3,0.1,do,do,-5.088431664556265
1473,148,3,0.1,do,pp,-5.093573540821671
1474,148,4,0.01,do,do,-5.17255595549941
1474,148,4,0.01,do,pp,-5.035632175579667
1475,148,5,0.1,do,do,-5.144805810973049
1475,148,5,0.1,do,pp,-5.20897865332663
1476,148,1,0.1,pp,do,-4.123141178488732
1476,148,1,0.1,pp,pp,-3.957313131913543
1477,148,2,0.1,pp,do,-4.681414660066366
1477,148,2,0.1,pp,pp,-4.500413876026869
1478,148,3,0.1,pp,do,-5.1103584166616205
1478,148,3,0.1,pp,pp,-4.722021145373583
1479,148,4,0.1,pp,do,-4.371366348862648
1479,148,4,0.1,pp,pp,-4.252413922175765
1480,148,5,0.1,pp,do,-4.9587957508862015
1480,148,5,0.1,pp,pp,-4.851341470330953
1481,149,1,0.1,do,do,-4.87871898598969
